X,Y,OBJECTID,ID,MONTH,CRIME_CATEGORY,LOCATION_TYPE,LOCATION_SUBTYPE,LONGITUDE,LATITUDE,STREET_ID,STREET_NAME,OUTCOME_CATEGORY,OUTCOME_DATE
358697.1685,172158.2258,5287,120047443,2024-07,violent-crime,Force,,-2.595719,51.446894,2278627,On or near Bathurst Parade,Under investigation,2024-07
362560.9623,170540.365800001,5288,120047692,2024-07,violent-crime,Force,,-2.539951,51.432617,2281886,On or near Theatre/concert Hall,Under investigation,2024-07
361000.0067,168231.173,5289,120047905,2024-07,violent-crime,Force,,-2.562149,51.411749,2280773,On or near Timberscombe Walk,Unable to prosecute suspect,2024-07
357283.1476,179530.133199999,5290,120047458,2024-07,violent-crime,Force,,-2.616959,51.513070,2277187,On or near Tranmere Avenue,Unable to prosecute suspect,2024-07
356458.1822,171660.2214,5291,120047463,2024-07,violent-crime,Force,,-2.627874,51.442248,2276604,On or near Clanage Road,Unable to prosecute suspect,2024-07
361692.0472,173603.1362,5292,120047486,2024-07,violent-crime,Force,,-2.552782,51.460097,2281350,On or near Trelawney Avenue,Under investigation,2024-07
356458.1822,171660.2214,5293,120047481,2024-07,violent-crime,Force,,-2.627874,51.442248,2276604,On or near Clanage Road,Unable to prosecute suspect,2024-07
359185.1456,173054.1338,5294,120047838,2024-07,violent-crime,Force,,-2.588801,51.454985,2279068,On or near Ferry Terminal,Unable to prosecute suspect,2024-07
362923.6738,175754.6874,5295,120047630,2024-07,violent-crime,Force,,-2.535282,51.479524,2282415,On or near Shopping Area,Under investigation,2024-07
356629.2592,176119.126,5296,120047502,2024-07,violent-crime,Force,,-2.625962,51.482352,2276649,On or near Hornby Place,Under investigation,2024-07
357593.2407,170820.1656,5297,120047507,2024-07,violent-crime,Force,,-2.611444,51.434782,2277598,On or near Lynwood Road,Under investigation,2024-07
359035.1229,177000.1424,5298,120047631,2024-07,violent-crime,Force,,-2.591419,51.490453,2278928,On or near Bilbie Close,Under investigation,2024-07
358759.1204,172659.2017,5299,120046823,2024-07,violent-crime,Force,,-2.594886,51.451403,2278670,On or near King William Avenue,Under investigation,2024-07
357366.1786,168418.1527,5300,120047664,2024-07,violent-crime,Force,,-2.614419,51.413168,2277443,On or near Cornleaze,Under investigation,2024-07
356725.2033,167739.259500001,5301,120046881,2024-07,violent-crime,Force,,-2.623552,51.407015,2276839,On or near Four Acres Close,Unable to prosecute suspect,2024-07
359344.1139,174094.186000001,5302,120046886,2024-07,violent-crime,Force,,-2.586633,51.464348,2279204,On or near Drummond Road,Under investigation,2024-07
358694.1181,172570.2009,5303,120046896,2024-07,violent-crime,Force,,-2.595811,51.450598,2278601,On or near Middle Avenue,Under investigation,2024-07
364278.0504,174236.1646,5304,120046898,2024-07,violent-crime,Force,,-2.515626,51.465958,2283445,On or near Britton Gardens,Under investigation,2024-07
358694.1181,172570.2009,5305,120046899,2024-07,violent-crime,Force,,-2.595811,51.450598,2278601,On or near Middle Avenue,Under investigation,2024-07
363300.0435,175087.189099999,5306,120046903,2024-07,violent-crime,Force,,-2.529793,51.473547,2282641,On or near Acton Road,Under investigation,2024-07
352797.2538,177233.134,5307,120046911,2024-07,violent-crime,Force,,-2.681291,51.492060,2274883,On or near St Tecla Close,Unable to prosecute suspect,2024-07
358770.1581,174325.1527,5308,120046924,2024-07,violent-crime,Force,,-2.594922,51.466383,2278705,On or near Sydenham Hill,Under investigation,2024-07
362500.0104,172231.2379,5309,120046944,2024-07,violent-crime,Force,,-2.541007,51.447816,2282077,On or near St Brelades Grove,Under investigation,2024-07
360874.1092,177373.113500001,5310,120046955,2024-07,violent-crime,Force,,-2.564974,51.493937,2280397,On or near Bonnington Walk,Under investigation,2024-07
357815.2568,171121.184,5311,120047804,2024-07,violent-crime,Force,,-2.608286,51.437505,2277824,On or near Garnet Street,Under investigation,2024-07
362898.0363,173879.1523,5312,120047817,2024-07,violent-crime,Force,,-2.535453,51.462659,2282413,On or near Bruton Close,Under investigation,2024-07
364089.0896,174685.155099999,5313,120047831,2024-07,violent-crime,Force,,-2.518392,51.469983,2283253,On or near Lodge Hill,Under investigation,2024-07
358077.1282,173105.220000001,5314,120047836,2024-07,violent-crime,Force,,-2.604753,51.455363,2278036,On or near Berkeley Avenue,Under investigation,2024-07
359610.135,171662.1533,5315,120047629,2024-07,violent-crime,Force,,-2.582526,51.442500,2279506,On or near Pylle Hill Crescent,Under investigation,2024-07
353516.2621,177737.1207,5316,120047638,2024-07,violent-crime,Force,,-2.671002,51.496651,2275124,On or near Henacre Road,Under investigation,2024-07
361503.0281,173808.202500001,5317,120047644,2024-07,violent-crime,Force,,-2.555525,51.461928,2281156,On or near Whitehart Court,Under investigation,2024-07
358715.0344,167524.1295,5318,120047646,2024-07,violent-crime,Force,,-2.594919,51.405230,2278640,On or near Miltons Close,Under investigation,2024-07
359159.1023,178695.1744,5319,120047653,2024-07,violent-crime,Force,,-2.589830,51.505702,2279013,On or near Home Close,Under investigation,2024-07
357032.2142,171184.1609,5320,120047655,2024-07,violent-crime,Force,,-2.619558,51.438012,2277025,On or near Shopping Area,Under investigation,2024-07
359188.1412,177630.2082,5321,120047702,2024-07,violent-crime,Force,,-2.589288,51.496129,2279085,On or near Donal Early Way,Unable to prosecute suspect,2024-07
357226.1626,177279.1206,5322,120048231,2024-07,violent-crime,Force,,-2.617507,51.492827,2277203,On or near Parking Area,Under investigation,2024-07
363978.0664,173845.2378,5323,120048235,2024-07,violent-crime,Force,,-2.519904,51.462424,2283176,On or near Two Mile Hill Road,Under investigation,2024-07
